#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25,T2 25,T1 25,T4 24
1,BN,Actions,17.616254803282665,-0.5317154267359072,59697208.0,-2.778168049493406,-11.810852022147788,Allégé,2415946008.0,17.616254803282665,18.147970230018572,19.211302366546317,18.542852383594845,18.012516511203298,15.832807290761068
2,AMZN,Actions,17.391365998804158,3.1084047980660294,11451981.0,19.19432537481952,-9.769517380946446,Renforcé,2385104083.0,17.391365998804158,14.282961200738129,8.731816177050954,9.305601869611031,,
3,UBER,Actions,15.713047110250871,-0.18387841574121033,29958771.0,-0.8241697308378046,-11.96915921786993,Allégé,2154934398.0,15.713047110250871,15.896925525992081,20.252292245090764,20.59198412749488,18.504420318911976,
4,MSFT,Actions,15.261224227361964,,5654078.0,,,Nouveau,2092970053.0,15.261224227361964,,,,,
5,QSR,Actions,12.20260028555314,2.154128147387514,22645483.0,-0.967736024667757,8.31012751473088,Allégé,1673501194.0,12.20260028555314,10.048472138165627,10.037358646128704,11.105813991035198,12.847159956695842,11.840996046684973
6,META,Actions,11.100518578634862,-0.26565623223027934,2660861.0,-0.47531969438604355,-13.325455605389081,Inchangé,1522358404.0,11.100518578634862,11.366174810865141,,,,
7,HHH,Actions,8.695898303867486,-0.9895176809782935,18852064.0,0.0,-20.69700384746833,Inchangé,1192581569.0,8.695898303867486,9.685415984845779,10.5787271883528,9.268724219743872,11.705418027498583,11.453203221444259
8,SEG,Actions,0.7868487279242815,0.14717713517537467,5023780.0,0.0,8.649468051950105,Inchangé,107910794.0,0.7868487279242815,0.6396715927489068,0.7863329100143429,0.6824435459998595,0.9040442901271216,1.1090246789775473
9,GOOG,Actions,0.6520327024078915,-11.805334354765268,311726.0,-94.94269104593526,-8.585086419541721,Allégé,89421720.0,0.6520327024078915,12.45736705717316,10.518246608362263,8.171097750242179,8.281051236797747,11.35258594814711
10,HTZ,Actions,0.512323601730528,0.007778513129179432,15241127.0,0.0,-10.311284898518435,Inchangé,70261595.0,0.512323601730528,0.5045450886013486,0.7077619670074601,0.7582197035111425,0.4953526945583351,0.3675283274709952
11,GOOGL,Actions,0.06788566018215343,-1.2994779399982574,32376.0,-95.22686964559772,-8.12779118520326,Allégé,9310043.0,0.06788566018215343,1.3673636001804108,8.041700554104578,6.884038658763809,5.752203347560184,5.960323892407545
